id,name_ua,name_en,price,category,description_ua,inStock,sku
home_001,"Набір підтарільників","Placemat set",750,home,"Елегантний набір з 4 підтарільників ручної роботи з натурального джуту. Діаметр 30 см. Ідеально підходить для сервірування столу, додає природної теплоти та затишку вашому дому. Кожен виріб виконаний вручну з дотриманням традиційних технологій плетіння.",true,HOME-001
home_002,"Набір підтарільників","Placemat set",500,home,"Стильний набір з 2 підтарільників ручної роботи з джуту чорного кольору. Діаметр 30 см. Чудово доповнить сучасний інтер'єр та додасть елегантності вашому столу. Виготовлено вручну з екологічно чистих матеріалів.",true,HOME-002
home_003,"Набір підтарільників","Placemat set",500,home,"Яскравий набір з 2 підтарільників ручної роботи з джуту голубого кольору. Діаметр 28 см. Додасть свіжості та яскравих акцентів вашому столу. Ідеально для літніх сніданків та святкових обідів.",true,HOME-003
home_004,"Набір підтарільників Ажур","Placemat set",450,home,"Вишуканий набір з 2 підтарільників з ажурним плетінням з натурального джуту. Діаметр 26 см. Витончена робота майстра створює унікальний візерунок. Ідеальний подарунок для цінителів ручної роботи.",true,HOME-004
home_005,"Набір підтарільників Ажур","Placemat set",420,home,"Компактний набір з 2 підтарільників з ажурним візерунком з натурального джуту. Діаметр 23 см. Ідеальний розмір для десертних тарілок або чашок. Створює затишну атмосферу за столом.",true,HOME-005
home_006,"Набір підтарільників","Placemat set",470,home,"Оригінальний набір з 2 підтарільників у поєднанні натурального джуту та голубого кольору. Діаметр 26 см. Гармонійне поєднання природних відтінків створює неповторний стиль. Ручна робота з любов'ю до деталей.",true,HOME-006
home_007,"Набір підтарільників Соняx","Placemat set Sunflower",420,home,"Чарівний набір з 2 підтарільників з візерунком соняшника у поєднанні натурального джуту та чорного кольору. Діаметр 21 см. Символ сонця та радості на вашому столі. Унікальний дизайн та якісне виконання.",true,HOME-007
home_008,"Підтарільник","Placemat",250,home,"Великий підтарільник ручної роботи у ніжному поєднанні натурального джуту та молочного кольору. Діаметр 34 см. Ідеальний для великих сервіровочних тарілок. Створює елегантну та м'яку атмосферу за столом.",true,HOME-008
home_009,"Набір підтарільників","Placemat set",420,home,"Яскравий набір з 2 підтарільників у поєднанні натурального джуту, чорного та червоного кольорів. Розмір 25×22 см. Контрастне та стильне рішення для вашого столу. Додає енергії та святковості.",true,HOME-009
home_010,"Набір підтарільників","Placemat set",400,home,"Класичний набір з 2 підтарільників з натурального джуту. Розмір 23×24 см. Універсальний розмір для щоденного використання. Природна краса джуту створює теплу та затишну атмосферу.",true,HOME-010
